"plant_id","treatment","plant_pos","root_mass","shoot_mass","date","total_nodules","mean_weight","replicate","batch","elapsed_dpi","RG","SEff","Fix","T3SS","Abundance","Single_effectivity","AreaMM","dryMass"
"156_1","156","188",10.4,14.7,"2019-06-19",33,0.836667,1,"1",75,1.61804995970991,9.5875,"-","+","+","Effective",NA,NA
"156_10","156","59",7.6,24.4,"2019-05-29",13,2.43,10,"2",48,2.06285253827558,16.4875,"-","+","+","Effective",28.4,2.99914204961269
"156_2","156","203",NA,NA,"2019-05-07",13,0.28,2,"1",32,NA,NA,"-","+","+","Effective",7.7,-0.58225016848105
"156_3","156","122",21,35.3,"2019-06-19",41,1.05,3,"1",75,3.62933118452861,40.7875,"-","+","+","Effective",83.5,8.36049709329471
"156_4","156","103",6.3,14.8,"2019-06-19",22,1.17,4,"1",75,1.36019339242546,5.5875,"-","+","+","Effective",37.1,3.09178532727308
"156_5","156","138",7.4,21.8,"2019-05-30",25,0.945455,5,"2",49,1.88235294117647,13.6875,"-","+","+","Effective",48.2,4.60660262939019
"156_6","156","112",16.3,25.7,"2019-06-17",56,1.180357,6,"2",67,2.7074939564867,26.4875,"-","+","+","Effective",96.4,8.22535402736668
"156_7","156","244",4.3,10.1,"2019-05-30",14,0.863636,7,"2",49,0.928283642224013,-1.1125,"-","+","+","Effective",18.6,1.55494105515827
"156_8","156","314",18.9,41.5,"2019-06-17",41,1.968293,8,"2",67,3.89363416599516,44.8875,"-","+","+","Effective",107.9,12.7761121558987
"156_9","156","107",12,19.3,"2019-06-19",25,2.13,9,"2",69,2.01772763900081,15.7875,"-","+","+","Effective",48.2,4.60660262939019
"186_1","186","283",4,12.1,"2019-06-01",16,0.661538,1,"1",57,1.0378726833199,0.5875,"-","+","-","Ineffective",22.2,1.54785775711366
"186_10","186","212",4.2,10.4,"2019-06-01",19,0.775,10,"2",51,0.941176470588235,-0.9125,"-","+","-","Ineffective",26.3,1.96054211809092
"186_2","186","19",3.6,11.7,"2019-06-17",10,1.62,2,"1",73,0.986301369863014,-0.2125,"-","+","-","Ineffective",27.9,3.40258375010225
"186_3","186","88",16.2,31.8,"2019-06-19",33,1.312903,3,"1",75,3.09427880741338,32.4875,"-","+","-","Ineffective",67.4,6.76404999851606
"186_4","186","360",8.5,13.7,"2019-06-19",24,0.77619,4,"1",75,1.43110394842869,6.6875,"-","+","-","Ineffective",35.1,2.40056592259933
"186_5","186","220",1.9,3.2,"2019-06-14",3,1.7,5,"2",64,0.328767123287671,-10.4125,"-","+","-","Ineffective",8,0.953817027769876
"186_6","186","25",6.4,14.7,"2019-05-31",22,2.1,6,"2",50,1.36019339242546,5.5875,"-","+","-","Ineffective",40.6,3.72517273379415
"186_7","186","268",22.2,47,"2019-06-18",50,1.293617,7,"2",68,4.46091861402095,53.6875,"-","+","-","Ineffective",109.8,11.6381741866039
"186_8","186","191",4.7,11.5,"2019-06-17",7,0.6,8,"2",67,1.04431909750201,0.687499999999998,"-","+","-","Ineffective",8.4,0.367636672334579
"186_9","186","219",5.7,10.8,"2019-06-17",12,1.075,9,"2",67,1.06365834004835,0.987499999999999,"-","+","-","Ineffective",25.2,2.58468686412429
"187_1","187","92",4,4,"2019-06-17",23,0.234783,1,"1",73,0.515713134568896,-7.5125,"-","-","+","Ineffective",20.7,-0.040728963756487
"187_10","187","194",3,3.6,"2019-06-14",21,0.08,10,"2",64,0.425463336019339,-8.9125,"-","-","+","Ineffective",13.2,-1.06870394821135
"187_2","187","253",0.9,1.6,"2019-05-30",11,0.1125,2,"1",55,0.16116035455278,-13.0125,"-","-","+","Ineffective",NA,NA
"187_3","187","38",NA,NA,"2019-06-14",0,0,3,"1",70,NA,NA,"-","-","+","Ineffective",NA,NA
"187_4","187","152",4.4,4.1,"2019-06-18",23,0.28,4,"1",74,0.547945205479452,-7.0125,"-","-","+","Ineffective",24.8,0.701239141025335
"187_5","187","272",0.9,1.3,"2019-05-31",9,0.116667,5,"2",50,0.141821112006446,-13.3125,"-","-","+","Ineffective",5.7,-0.285618341741099
"187_6","187","54",2.3,3.4,"2019-05-29",14,0.19,6,"2",48,0.367445608380338,-9.8125,"-","-","+","Ineffective",13.1,0.0656923720611729
"187_7","187","66",2.7,5.6,"2019-06-17",15,0.186667,7,"2",67,0.53505237711523,-7.2125,"-","-","+","Ineffective",17,0.606825038853793
"187_8","187","356",NA,NA,"2019-06-14",0,0,8,"2",64,NA,NA,"-","-","+","Ineffective",NA,NA
"187_9","187","13",NA,NA,"",NA,0,9,"2",NA,NA,NA,"-","-","+","Ineffective",NA,NA
"2_1","2","273",41,84.4,"2019-06-18",20,3.68,1,"1",74,8.08380338436745,109.8875,"-","-","-","Ineffective",78.5,10.9131372510697
"2_10","2","254",6.5,8.5,"2019-05-31",8,0.3125,10,"2",50,0.96696212731668,-0.512500000000001,"-","-","-","Ineffective",11.5,0.763995074779527
"2_2","2","129",13.8,21.6,"2019-06-19",23,0.58,2,"1",75,2.28203062046736,19.8875,"-","-","-","Ineffective",53.7,5.931209440585
"2_3","2","23",3.2,9,"2019-05-31",3,NA,3,"1",56,0.786462530217566,-3.3125,"-","-","-","Ineffective",NA,NA
"2_4","2","345",3.6,4.3,"2019-06-19",3,1.533333,4,"1",75,0.509266720386785,-7.6125,"-","-","-","Ineffective",7.4,0.845236329509121
"2_5","2","358",42.2,77.9,"2019-06-19",33,1.88,5,"2",69,7.74214343271555,104.5875,"-","-","-","Ineffective",91.4,11.1072779289462
"2_6","2","221",2,4.6,"2019-06-17",2,0.5,6,"2",67,0.425463336019339,-8.9125,"-","-","-","Ineffective",2.9,0.195522964455746
"2_7","2","97",2.3,1.3,"2019-06-19",3,0.733333,7,"2",69,0.232070910556003,-11.9125,"-","-","-","Ineffective",4.4,0.302332838205349
"2_8","2","178",4.1,3.4,"2019-05-30",2,NA,8,"2",49,0.48348106365834,-8.0125,"-","-","-","Ineffective",3.1,0.231716530542665
"2_9","2","297",7.1,9,"2019-06-17",15,0.56,9,"2",67,1.0378726833199,0.5875,"-","-","-","Ineffective",18,0.787792869288384
"200_10","200","284",5,8.3,"2019-06-14",8,0.1875,10,"2",64,0.85737308622079,-2.2125,"-","+","-","Ineffective",5.3,-0.358005473914935
"200_6","200","210",4.2,5.4,"2019-06-17",6,0.233333,6,"2",67,0.618855761482675,-5.9125,"-","+","-","Ineffective",6.2,0.134149317280763
"200_7","200","350",4.7,5,"2019-06-14",8,0.325,7,"2",64,0.625302175664786,-5.8125,"-","+","-","Ineffective",96.7,10.0907049674222
"200_8","200","116",1.6,4,"2019-05-28",0,0,8,"2",47,0.360999194198227,-9.9125,"-","+","-","Ineffective",60.3,8.27809022476928
"200_9","200","119",2.7,3.8,"2019-06-14",8,0.1625,9,"2",64,0.419016921837228,-9.0125,"-","+","-","Ineffective",6.2,-0.195134426523803
"131_1","131","22",32.1,94.7,"2019-06-17",36,1.811111,1,"1",73,8.174053182917,111.2875,"+","+","+","Effective",102.9,12.6944823632372
"131_10","131","20",20.1,71.4,"2019-05-31",39,0.841667,10,"2",50,5.89846897663175,75.9875,"+","+","+","Effective",61.4,5.18431740020167
"131_2","131","323",4.8,28.7,"2019-05-15",12,1.47,2,"1",40,2.15954875100725,17.9875,"+","+","+","Effective",24.3,2.42181581673315
"131_3","131","24",8.9,23.9,"2019-06-01",30,2.25,3,"1",57,2.11442385173247,17.2875,"+","+","+","Effective",50.6,4.21771606292179
"131_4","131","89",35.6,106,"2019-05-29",62,1.3,4,"1",54,9.12812248186946,126.0875,"+","+","+","Effective",105.4,8.8662132698643
"131_5","131","78",NA,NA,"2019-06-18",30,1.486667,5,"2",68,NA,NA,"+","+","+","Effective",79.2,9.39339601335108
"131_6","131","317",70.2,234.3,"2019-06-18",45,3.548837,6,"2",68,19.6293311845286,288.9875,"+","+","+","Effective",155.9,20.8040005291499
"131_7","131","270",35,72.7,"2019-06-18",28,2.603571,7,"2",68,6.94278807413376,92.1875,"+","+","+","Effective",106,14.5726176128027
"131_8","131","207",20.9,74,"2019-05-30",34,1.64,8,"2",49,6.11764705882353,79.3875,"+","+","+","Effective",61.2,5.47740757791932
"131_9","131","243",31.7,172.3,"2019-06-17",31,4.654839,9,"2",67,13.1506849315068,188.4875,"+","+","+","Effective",151.9,22.3851154140435
"184_1","184","44",38.3,145.4,"2019-06-17",49,1.84898,1,"1",73,11.8420628525383,168.1875,"+","+","+","Effective",119.3,13.5220104476348
"184_10","184","235",16.7,79.9,"2019-06-17",22,1.463636,10,"2",67,6.22723609991942,81.0875,"+","+","+","Effective",51.6,5.71581886857465
"184_2","184","113",56.5,179.9,"2019-06-18",38,1.076316,2,"1",74,15.2393231265109,220.8875,"+","+","+","Effective",71.2,6.95780213846066
"184_3","184","160",62.5,212.8,"2019-06-18",53,1.716,3,"1",74,17.7469782433521,259.7875,"+","+","+","Effective",116,12.2662491195915
"184_4","184","351",10.2,43,"2019-05-30",22,1.394737,4,"1",55,3.42949234488316,37.6875,"+","+","+","Effective",45.9,4.68430223509748
"184_5","184","286",7.1,17.1,"2019-05-17",20,1.06,5,"2",36,1.56003223207091,8.6875,"+","+","+","Effective",39.1,3.78300473194683
"184_6","184","16",10,16,"2019-06-19",18,1.266667,6,"2",69,1.67606768734891,10.4875,"+","+","+","Effective",33,3.00838471010039
"184_7","184","57",11.7,39.6,"2019-05-29",23,1.305,7,"2",48,3.30701047542305,35.7875,"+","+","+","Effective",41.2,3.8337534320549
"184_8","184","161",4.8,8,"2019-06-19",17,0.72,8,"2",69,0.825141015310234,-2.7125,"+","+","+","Effective",27.7,2.21389708069935
"184_9","184","117",12.5,49.6,"2019-05-28",29,1.019231,9,"2",47,4.00322320709106,46.5875,"+","+","+","Effective",49.3,4.14709975525911
"4_1","4","76",1.3,1.8,"2019-06-18",5,0.36,1,"1",74,0.199838839645447,-12.4125,"+","+","-","Effective",5.9,0.244500840052669
"4_10","4","95A",15.2,24.3,"2019-06-18",19,0.74,10,"2",68,2.54633360193392,23.9875,"+","+","-","Effective",NA,NA
"4_10","4","95B",25.3,89.2,"2019-06-18",36,0.791667,10,"2",68,7.38114423851732,98.9875,"+","+","-","Effective",NA,NA
"4_2","4","289",NA,NA,"",NA,0,2,"1",NA,NA,NA,"+","+","-","Effective",NA,NA
"4_3","4","247",3.6,11.5,"2019-06-01",14,0.809091,3,"1",57,0.973408541498791,-0.412500000000001,"+","+","-","Effective",21.8,1.96939624064668
"4_4","4","336",NA,NA,"2019-06-05",0,0,4,"1",61,NA,NA,"+","+","-","Effective",NA,NA
"4_5","4","72",NA,NA,"2019-06-14",0,0,5,"2",64,NA,NA,"+","+","-","Effective",NA,NA
"4_6","4","313",9.2,34.5,"2019-05-30",12,1.577778,6,"2",49,2.81708299758259,28.1875,"+","+","-","Effective",28.8,3.23617105368881
"4_7","4","93",21.7,54.6,"2019-06-17",31,1.132258,7,"2",67,4.91861402095085,60.7875,"+","+","-","Effective",56.7,5.15697795667051
"4_8","4","100",46,115.1,"2019-06-18",58,1.112069,8,"2",68,10.3851732473811,145.5875,"+","+","-","Effective",100.2,8.58374803921356
"4_9","4","204",9.4,35.8,"2019-06-01",20,0.6,9,"2",51,2.91377921031426,29.6875,"+","+","-","Effective",23,1.0340645338522
"H2O_1","H2O","182",3.8,4.2,"2019-06-06",0,0,1,"1",62,0.515713134568896,-7.5125,"Control","Control","Control","Control",NA,NA
"H2O_10","H2O","258",5.7,71,"2019-06-06",0,0,10,"2",56,4.94439967767929,61.1875,"Control","Control","Control","Control",NA,NA
"H2O_2","H2O","242",4.7,4.4,"2019-06-06",0,0,2,"1",62,0.586623690572119,-6.4125,"Control","Control","Control","Control",NA,NA
"H2O_3","H2O","332",1.8,2.5,"2019-06-06",0,0,3,"1",62,0.277195809830782,-11.2125,"Control","Control","Control","Control",NA,NA
"H2O_4","H2O","206",3,2.7,"2019-05-07",0,0,4,"1",32,0.367445608380338,-9.8125,"Control","Control","Control","Control",NA,NA
"H2O_5","H2O","164",5.1,6.7,"2019-05-21",0,0,5,"2",40,0.760676873489122,-3.7125,"Control","Control","Control","Control",NA,NA
"H2O_6","H2O","30",NA,NA,"2019-06-06",NA,0,6,"2",56,NA,NA,"Control","Control","Control","Control",NA,NA
"H2O_7","H2O","147",1.7,1.5,"2019-06-06",0,0,7,"2",56,0.206285253827558,-12.3125,"Control","Control","Control","Control",NA,NA
"H2O_8","H2O","245",NA,NA,"2019-05-31",NA,0,8,"2",50,NA,NA,"Control","Control","Control","Control",NA,NA
"H2O_9","H2O","261",3,2.3,"2019-05-20",0,0,9,"2",39,0.341659951651894,-10.2125,"Control","Control","Control","Control",NA,NA
