Treatment,Fix,T3SS,Abundance,Co_effectivity,Single_effectivity
131+156,+/+,++,++,Effective,Effective-Effective
131+184,+/+,++,++,Ineffective,Effective-Effective
131+187,+/-,+-,++,Effective,Effective-Ineffective
131+200,+/-,++,+-,Effective,Effective-Ineffective
156+184,+/-,++,++,Ineffective,Effective-Effective
156+200,+/-,++,+-,Ineffective,Effective-Ineffective
184+200,+/-,++,+-,Effective,Effective-Ineffective
186+131,+/-,++,+-,Effective,Effective-Ineffective
186+156,+/-,++,+-,Ineffective,Effective-Ineffective
186+184,+/-,++,+-,Effective,Effective-Ineffective
186+187,-/-,+-,+-,Ineffective,Ineffective-Ineffective
186+200,-/-,++,--,Ineffective,Ineffective-Ineffective
186+4,+/-,++,--,Effective,Effective-Effective
187+156,+/-,+-,++,Ineffective,Effective-Ineffective
187+184,+/-,+-,++,Effective,Effective-Ineffective
187+200,-/-,+-,+-,Ineffective,Ineffective-Ineffective
2+131,+/-,+-,+-,Ineffective,Effective-Ineffective
2+156,+/-,+-,+-,Ineffective,Effective-Ineffective
2+184,+/-,+-,+-,Effective,Effective-Ineffective
2+186,-/-,--,+-,Ineffective,Ineffective-Ineffective
2+187,-/-,--,+-,Ineffective,Ineffective-Ineffective
2+200,-/-,+-,--,Ineffective,Ineffective-Ineffective
2+4,+/-,+-,--,Ineffective,Effective-Ineffective
4+131,+/+,++,+-,Effective,Effective-Effective
4+156,+/+,++,+-,Ineffective,Effective-Effective
4+184,+/+,++,+-,Effective,Effective-Effective
4+187,+/-,+-,+-,Effective,Effective-Ineffective
4+200,+/-,++,--,Effective,Effective-Ineffective
H2O,Control,Control,Control,Control,Control
2,-,-,-,Ineffective,
186,-,+,-,Ineffective,
4,+,+,-,Effective,
131,+,+,+,Effective,
187,-,-,+,Ineffective,
156,+,+,+,Effective,
184,+,+,+,Effective,
200,-,+,-,Ineffective,